Times,Date,Target
第1254回,15.11.08,1
第1253回,15.11.01,2
第1252回,15.10.25,3
第1251回,15.10.18,3
第1250回,15.10.11,1
第1249回,15.10.04,2
第1248回,15.09.27,1
第1247回,15.09.20,3
第1246回,15.09.13,2
第1245回,15.09.06,1
第1244回,15.08.30,2
第1243回,15.08.23,3
第1242回,15.08.16,1
第1241回,15.08.09,1
第1240回,15.08.02,3
第1239回,15.07.26,2
第1238回,15.07.19,2
第1237回,15.07.12,1
第1236回,15.07.05,2
第1235回,15.06.28,3
第1234回,15.06.21,3
第1233回,15.06.14,2
第1232回,15.06.07,1
第1231回,15.05.31,2
第1230回,15.05.24,3
第1229回,15.05.17,1
第1228回,15.05.10,3
第1227回,15.05.03,2
第1226回,15.04.26,1
第1225回,15.04.19,1
第1224回,15.04.12,3
第1223回,15.04.05,2
第1222回,15.03.29,1
第1221回,15.03.22,2
第1220回,15.03.15,1
第1219回,15.03.08,3
第1218回,15.03.01,2
第1217回,15.02.22,1
第1216回,15.02.15,2
第1215回,15.02.08,3
第1214回,15.02.01,3
第1213回,15.01.25,0
第1212回,15.01.18,1
第1211回,15.01.11,2
第1210回,15.01.04,2
第1209回,14.12.28,1
第1208回,14.12.21,3
第1207回,14.12.14,0
第1206回,14.12.07,2
第1205回,14.11.30,1
第1204回,14.11.23,2
第1203回,14.11.16,3
第1202回,14.11.09,1
第1201回,14.11.02,3
第1200回,14.10.26,2
第1199回,14.10.19,1
第1198回,14.10.12,1
第1197回,14.10.05,2
第1196回,14.09.28,3
第1195回,14.09.21,3
第1194回,14.09.14,2
第1193回,14.09.07,1
第1192回,14.08.31,3
第1191回,14.08.24,2
第1190回,14.08.17,3
第1189回,14.08.10,1
第1188回,14.08.03,3
第1187回,14.07.27,2
第1186回,14.07.20,2
第1185回,14.07.13,1
第1184回,14.07.06,2
第1183回,14.06.29,3
第1182回,14.06.22,2
第1181回,14.06.15,1
第1180回,14.06.08,3
第1179回,14.06.01,2
第1178回,14.05.25,3
第1177回,14.05.18,1
第1176回,14.05.11,3
第1175回,14.05.04,2
第1174回,14.04.27,3
第1173回,14.04.20,1
第1172回,14.04.13,1
第1171回,14.04.06,2
第1170回,14.03.30,1
第1169回,14.03.23,3
第1168回,14.03.16,2
第1167回,14.03.09,3
第1166回,14.03.02,1
第1165回,14.02.23,1
第1164回,14.02.16,2
第1163回,14.02.09,3
第1162回,14.02.02,2
第1161回,14.01.26,1
第1160回,14.01.19,3
第1159回,14.01.12,1
第1158回,14.01.05,2
第1157回,13.12.29,0
第1156回,13.12.22,2
第1155回,13.12.15,3
第1154回,13.12.08,3
第1153回,13.12.01,2
第1152回,13.11.24,1
第1151回,13.11.17,3
第1150回,13.11.10,2
第1149回,13.11.03,2
第1148回,13.10.27,3
第1147回,13.10.20,1
第1146回,13.10.13,1
第1145回,13.10.06,2
第1144回,13.09.29,3
第1143回,13.09.22,3
第1142回,13.09.15,2
第1141回,13.09.08,1
第1140回,13.09.01,2
第1139回,13.08.25,3
第1138回,13.08.18,0
第1137回,13.08.11,3
第1136回,13.08.04,2
第1135回,13.07.28,1
第1134回,13.07.21,1
第1133回,13.07.14,3
第1132回,13.07.07,2
第1131回,13.06.30,3
第1130回,13.06.23,2
第1129回,13.06.16,1
第1128回,13.06.09,3
第1127回,13.06.02,2
第1126回,13.05.26,1
第1125回,13.05.19,1
第1124回,13.05.12,2
第1123回,13.05.05,3
第1122回,13.04.28,3
第1121回,13.04.21,2
第1120回,13.04.14,3
第1119回,13.04.07,2
第1118回,13.03.31,3
第1117回,13.03.24,1
第1116回,13.03.17,2
第1115回,13.03.10,1
第1114回,13.03.03,2
第1113回,13.02.24,3
第1112回,13.02.17,3
第1111回,13.02.10,1
第1110回,13.02.03,2
第1109回,13.01.27,3
第1108回,13.01.20,1
第1107回,13.01.13,1
第1106回,13.01.06,2
第1105回,12.12.30,3
第1104回,12.12.23,2
第1103回,12.12.16,0
第1102回,12.12.09,1
第1101回,12.12.02,2
第1100回,12.11.25,3
